ordernumber,orderdate,status,productcode,productline,quantityordered,priceeach,total_price,sales,tva_estime,country,dealsize,month
10299,2004-09-30,Shipped,S10_1678,Motorcycles,23,100.0,2300.0,2597.39,297.39,Finland,Small,9
10309,2004-10-15,Shipped,S10_1678,Motorcycles,41,100.0,4100.0,4394.38,294.38,Norway,Medium,10
10318,2004-11-02,Shipped,S10_1678,Motorcycles,46,94.74,4358.04,4358.04,0.0,USA,Medium,11
10329,2004-11-15,Shipped,S10_1678,Motorcycles,42,100.0,4200.0,4396.14,196.14,USA,Medium,11
10341,2004-11-24,Shipped,S10_1678,Motorcycles,41,100.0,4100.0,7737.93,3637.93,Austria,Large,11
10361,2004-12-17,Shipped,S10_1678,Motorcycles,20,72.55,1451.0,1451.0,0.0,Australia,Small,12
10375,2005-02-03,Shipped,S10_1678,Motorcycles,21,34.91,733.1099999999999,733.11,0.0,France,Small,2
10388,2005-03-03,Shipped,S10_1678,Motorcycles,42,76.36,3207.12,3207.12,0.0,USA,Medium,3
10403,2005-04-08,Shipped,S10_1678,Motorcycles,24,100.0,2400.0,2434.56,34.56,UK,Small,4
10417,2005-05-13,Disputed,S10_1678,Motorcycles,66,100.0,6600.0,7516.08,916.08,Spain,Large,5
10103,2003-01-29,Shipped,S10_1949,Classic Cars,26,100.0,2600.0,5404.62,2804.62,Norway,Medium,1
10112,2003-03-24,Shipped,S10_1949,Classic Cars,29,100.0,2900.0,7209.11,4309.11,Sweden,Large,3
10126,2003-05-28,Shipped,S10_1949,Classic Cars,38,100.0,3800.0,7329.06,3529.06,Spain,Large,5
10140,2003-07-24,Shipped,S10_1949,Classic Cars,37,100.0,3700.0,7374.1,3674.1,USA,Large,7
10150,2003-09-19,Shipped,S10_1949,Classic Cars,45,100.0,4500.0,10993.5,6493.5,Singapore,Large,9
10163,2003-10-20,Shipped,S10_1949,Classic Cars,21,100.0,2100.0,4860.24,2760.24,USA,Medium,10
10174,2003-11-06,Shipped,S10_1949,Classic Cars,34,100.0,3400.0,8014.82,4614.82,Australia,Large,11
10183,2003-11-13,Shipped,S10_1949,Classic Cars,23,100.0,2300.0,5372.57,3072.57,USA,Medium,11
10194,2003-11-25,Shipped,S10_1949,Classic Cars,42,100.0,4200.0,7290.36,3090.36,France,Large,11
10206,2003-12-05,Shipped,S10_1949,Classic Cars,47,100.0,4700.0,9064.89,4364.89,Canada,Large,12
10215,2004-01-29,Shipped,S10_1949,Classic Cars,35,100.0,3500.0,6075.3,2575.3,USA,Medium,1
10228,2004-03-10,Shipped,S10_1949,Classic Cars,29,100.0,2900.0,6463.23,3563.23,USA,Medium,3
10245,2004-05-04,Shipped,S10_1949,Classic Cars,34,100.0,3400.0,6120.34,2720.34,USA,Medium,5
10258,2004-06-15,Shipped,S10_1949,Classic Cars,32,100.0,3200.0,7680.64,4480.64,Japan,Large,6
10270,2004-07-19,Shipped,S10_1949,Classic Cars,21,100.0,2100.0,4905.39,2805.39,Australia,Medium,7
10280,2004-08-17,Shipped,S10_1949,Classic Cars,34,100.0,3400.0,8014.82,4614.82,Italy,Large,8
10291,2004-09-08,Shipped,S10_1949,Classic Cars,37,100.0,3700.0,7136.19,3436.19,Sweden,Large,9
10304,2004-10-11,Shipped,S10_1949,Classic Cars,47,100.0,4700.0,10172.7,5472.7,France,Large,10
10312,2004-10-21,Shipped,S10_1949,Classic Cars,48,100.0,4800.0,11623.7,6823.7,USA,Large,10
10322,2004-11-04,Shipped,S10_1949,Classic Cars,40,100.0,4000.0,6000.4,2000.4,USA,Medium,11
10333,2004-11-18,Shipped,S10_1949,Classic Cars,26,100.0,2600.0,3003.0,403.0,USA,Medium,11
10347,2004-11-29,Shipped,S10_1949,Classic Cars,30,100.0,3000.0,3944.7,944.7,Australia,Medium,11
10357,2004-12-10,Shipped,S10_1949,Classic Cars,32,100.0,3200.0,5691.84,2491.84,USA,Medium,12
10369,2005-01-20,Shipped,S10_1949,Classic Cars,41,100.0,4100.0,4514.92,414.92,USA,Medium,1
10381,2005-02-17,Shipped,S10_1949,Classic Cars,36,100.0,3600.0,8254.8,4654.8,USA,Large,2
10391,2005-03-09,Shipped,S10_1949,Classic Cars,24,100.0,2400.0,2416.56,16.56,Australia,Small,3
10411,2005-05-01,Shipped,S10_1949,Classic Cars,23,100.0,2300.0,4140.23,1840.23,Canada,Medium,5
10424,2005-05-31,In Process,S10_1949,Classic Cars,50,100.0,5000.0,12001.0,7001.0,Spain,Large,5
10107,2003-02-24,Shipped,S10_2016,Motorcycles,39,99.91,3896.49,3896.49,0.0,USA,Medium,2
10120,2003-04-29,Shipped,S10_2016,Motorcycles,29,96.34,2793.86,2793.86,0.0,Australia,Small,4
10134,2003-07-01,Shipped,S10_2016,Motorcycles,27,100.0,2700.0,3307.77,607.77,France,Medium,7
10145,2003-08-25,Shipped,S10_2016,Motorcycles,37,100.0,3700.0,5192.95,1492.95,USA,Medium,8
10159,2003-10-10,Shipped,S10_2016,Motorcycles,37,100.0,3700.0,5016.83,1316.83,USA,Medium,10
10168,2003-10-28,Shipped,S10_2016,Motorcycles,27,100.0,2700.0,3660.93,960.93,USA,Medium,10
10180,2003-11-11,Shipped,S10_2016,Motorcycles,42,100.0,4200.0,4695.6,495.6,France,Medium,11
10188,2003-11-18,Shipped,S10_2016,Motorcycles,38,96.34,3660.92,3660.92,0.0,Norway,Medium,11
10201,2003-12-01,Shipped,S10_2016,Motorcycles,24,100.0,2400.0,3025.92,625.92,USA,Medium,12
10210,2004-01-12,Shipped,S10_2016,Motorcycles,23,100.0,2300.0,3009.09,709.09,Japan,Medium,1
10223,2004-02-20,Shipped,S10_2016,Motorcycles,47,100.0,4700.0,5422.39,722.39,Australia,Medium,2
10236,2004-04-03,Shipped,S10_2016,Motorcycles,22,100.0,2200.0,2852.08,652.08,USA,Small,4
10251,2004-05-18,Shipped,S10_2016,Motorcycles,44,100.0,4400.0,5756.52,1356.52,USA,Medium,5
10263,2004-06-28,Shipped,S10_2016,Motorcycles,40,100.0,4000.0,4472.0,472.0,USA,Medium,6
10275,2004-07-23,Shipped,S10_2016,Motorcycles,22,100.0,2200.0,2904.44,704.44,France,Small,7
10285,2004-08-27,Shipped,S10_2016,Motorcycles,47,100.0,4700.0,6484.59,1784.59,USA,Medium,8
10298,2004-09-27,Shipped,S10_2016,Motorcycles,39,96.34,3757.26,3757.26,0.0,France,Medium,9
10308,2004-10-15,Shipped,S10_2016,Motorcycles,34,100.0,3400.0,4043.96,643.96,USA,Medium,10
10318,2004-11-02,Shipped,S10_2016,Motorcycles,45,100.0,4500.0,5566.5,1066.5,USA,Medium,11
10329,2004-11-15,Shipped,S10_2016,Motorcycles,20,100.0,2000.0,3176.0,1176.0,USA,Medium,11
10339,2004-11-23,Shipped,S10_2016,Motorcycles,40,68.92,2756.8,2756.8,0.0,Japan,Small,11
10361,2004-12-17,Shipped,S10_2016,Motorcycles,26,51.15,1329.8999999999999,1329.9,0.0,Australia,Small,12
10374,2005-02-02,Shipped,S10_2016,Motorcycles,39,100.0,3900.0,5288.01,1388.01,Australia,Medium,2
10388,2005-03-03,Shipped,S10_2016,Motorcycles,50,44.51,2225.5,2225.5,0.0,USA,Small,3
10402,2005-04-07,Shipped,S10_2016,Motorcycles,45,100.0,4500.0,5833.8,1333.8,France,Medium,4
10417,2005-05-13,Disputed,S10_2016,Motorcycles,45,100.0,4500.0,5887.35,1387.35,Spain,Medium,5
10107,2003-02-24,Shipped,S10_4698,Motorcycles,27,100.0,2700.0,6065.55,3365.55,USA,Medium,2
10120,2003-04-29,Shipped,S10_4698,Motorcycles,46,100.0,4600.0,9264.86,4664.86,Australia,Large,4
10134,2003-07-01,Shipped,S10_4698,Motorcycles,31,100.0,3100.0,7023.98,3923.98,France,Large,7
10145,2003-08-25,Shipped,S10_4698,Motorcycles,33,100.0,3300.0,5176.38,1876.38,USA,Medium,8
10159,2003-10-10,Shipped,S10_4698,Motorcycles,22,100.0,2200.0,4132.7,1932.7,USA,Medium,10
10168,2003-10-28,Shipped,S10_4698,Motorcycles,20,100.0,2000.0,4183.0,2183.0,USA,Medium,10
10180,2003-11-11,Shipped,S10_4698,Motorcycles,41,100.0,4100.0,8892.9,4792.9,France,Large,11
10188,2003-11-18,Shipped,S10_4698,Motorcycles,45,100.0,4500.0,8714.7,4214.7,Norway,Large,11
10201,2003-12-01,Shipped,S10_4698,Motorcycles,49,100.0,4900.0,8065.89,3165.89,USA,Large,12
10210,2004-01-12,Shipped,S10_4698,Motorcycles,34,100.0,3400.0,6123.4,2723.4,Japan,Medium,1
10223,2004-02-20,Shipped,S10_4698,Motorcycles,49,100.0,4900.0,9774.03,4874.03,Australia,Large,2
10237,2004-04-05,Shipped,S10_4698,Motorcycles,39,100.0,3900.0,7023.9,3123.9,USA,Large,4
10251,2004-05-18,Shipped,S10_4698,Motorcycles,43,100.0,4300.0,7078.23,2778.23,USA,Large,5
10263,2004-06-28,Shipped,S10_4698,Motorcycles,41,100.0,4100.0,8336.94,4236.94,USA,Large,6
10275,2004-07-23,Shipped,S10_4698,Motorcycles,36,100.0,3600.0,6901.92,3301.92,France,Medium,7
10285,2004-08-27,Shipped,S10_4698,Motorcycles,27,100.0,2700.0,5438.07,2738.07,USA,Medium,8
10299,2004-09-30,Shipped,S10_4698,Motorcycles,29,100.0,2900.0,6683.34,3783.34,Finland,Medium,9
10308,2004-10-15,Shipped,S10_4698,Motorcycles,20,100.0,2000.0,4570.4,2570.4,USA,Medium,10
10318,2004-11-02,Shipped,S10_4698,Motorcycles,37,100.0,3700.0,7667.14,3967.14,USA,Large,11
10329,2004-11-15,Shipped,S10_4698,Motorcycles,26,100.0,2600.0,5868.2,3268.2,USA,Medium,11
10339,2004-11-23,Shipped,S10_4698,Motorcycles,39,76.67,2990.13,2990.13,0.0,Japan,Small,11
10362,2005-01-05,Shipped,S10_4698,Motorcycles,22,100.0,2200.0,3664.1,1464.1,USA,Medium,1
10374,2005-02-02,Shipped,S10_4698,Motorcycles,22,100.0,2200.0,3834.38,1634.38,Australia,Medium,2
10388,2005-03-03,Shipped,S10_4698,Motorcycles,21,86.77,1822.1699999999998,1822.17,0.0,USA,Small,3
10403,2005-04-08,Shipped,S10_4698,Motorcycles,66,100.0,6600.0,11886.6,5286.6,UK,Large,4
10417,2005-05-13,Disputed,S10_4698,Motorcycles,56,100.0,5600.0,9218.16,3618.16,Spain,Large,5
10105,2003-02-11,Shipped,S10_4757,Classic Cars,50,100.0,5000.0,7208.0,2208.0,Denmark,Large,2
10119,2003-04-28,Shipped,S10_4757,Classic Cars,46,100.0,4600.0,5004.8,404.8,Austria,Medium,4
10129,2003-06-12,Shipped,S10_4757,Classic Cars,33,100.0,3300.0,4398.24,1098.24,UK,Medium,6
10143,2003-08-10,Shipped,S10_4757,Classic Cars,49,100.0,4900.0,5597.76,697.76,USA,Medium,8
10155,2003-10-06,Shipped,S10_4757,Classic Cars,32,100.0,3200.0,4526.08,1326.08,Finland,Medium,10
10167,2003-10-23,Cancelled,S10_4757,Classic Cars,44,100.0,4400.0,5924.16,1524.16,Sweden,Medium,10
10178,2003-11-08,Shipped,S10_4757,Classic Cars,24,100.0,2400.0,3492.48,1092.48,France,Medium,11
10186,2003-11-14,Shipped,S10_4757,Classic Cars,26,100.0,2600.0,3854.24,1254.24,UK,Medium,11
10197,2003-11-26,Shipped,S10_4757,Classic Cars,45,100.0,4500.0,5324.4,824.4,Spain,Medium,11
10209,2004-01-09,Shipped,S10_4757,Classic Cars,39,100.0,3900.0,5197.92,1297.92,USA,Medium,1
10222,2004-02-19,Shipped,S10_4757,Classic Cars,49,100.0,4900.0,5997.6,1097.6,USA,Medium,2
10248,2004-05-07,Cancelled,S10_4757,Classic Cars,20,100.0,2000.0,2910.4,910.4,USA,Small,5
10261,2004-06-17,Shipped,S10_4757,Classic Cars,27,100.0,2700.0,3378.24,678.24,Canada,Medium,6
10273,2004-07-21,Shipped,S10_4757,Classic Cars,30,100.0,3000.0,3508.8,508.8,Belgium,Medium,7
10283,2004-08-20,Shipped,S10_4757,Classic Cars,25,100.0,2500.0,2992.0,492.0,Canada,Small,8
10295,2004-09-10,Shipped,S10_4757,Classic Cars,24,100.0,2400.0,3427.2,1027.2,USA,Medium,9
10307,2004-10-14,Shipped,S10_4757,Classic Cars,22,100.0,2200.0,2692.8,492.8,USA,Small,10
10316,2004-11-01,Shipped,S10_4757,Classic Cars,33,100.0,3300.0,4128.96,828.96,UK,Medium,11
10325,2004-11-05,Shipped,S10_4757,Classic Cars,47,64.93,3051.7100000000005,3051.71,0.0,Norway,Medium,11
10337,2004-11-21,Shipped,S10_4757,Classic Cars,25,48.05,1201.25,1201.25,0.0,USA,Small,11
10350,2004-12-02,Shipped,S10_4757,Classic Cars,26,75.47,1962.22,1962.22,0.0,Spain,Small,12
10359,2004-12-15,Shipped,S10_4757,Classic Cars,48,54.68,2624.64,2624.64,0.0,France,Small,12
10373,2005-01-31,Shipped,S10_4757,Classic Cars,39,100.0,3900.0,4046.25,146.25,Finland,Medium,1
10384,2005-02-23,Shipped,S10_4757,Classic Cars,34,100.0,3400.0,4846.7,1446.7,USA,Medium,2
10395,2005-03-17,Shipped,S10_4757,Classic Cars,32,100.0,3200.0,3370.56,170.56,France,Medium,3
10400,2005-04-01,Shipped,S10_4757,Classic Cars,64,100.0,6400.0,9661.44,3261.44,USA,Large,4
10414,2005-05-06,On Hold,S10_4757,Classic Cars,19,100.0,1900.0,2764.88,864.88,USA,Small,5
10103,2003-01-29,Shipped,S10_4962,Classic Cars,42,100.0,4200.0,5398.26,1198.26,Norway,Medium,1
10114,2003-04-01,Shipped,S10_4962,Classic Cars,31,100.0,3100.0,4305.28,1205.28,France,Medium,4
10126,2003-05-28,Shipped,S10_4962,Classic Cars,22,100.0,2200.0,3347.74,1147.74,Spain,Medium,5
10140,2003-07-24,Shipped,S10_4962,Classic Cars,26,100.0,2600.0,3188.12,588.12,USA,Medium,7
10150,2003-09-19,Shipped,S10_4962,Classic Cars,20,100.0,2000.0,3191.2,1191.2,Singapore,Medium,9
10164,2003-10-21,Resolved,S10_4962,Classic Cars,21,100.0,2100.0,3536.82,1436.82,Austria,Medium,10
10175,2003-11-06,Shipped,S10_4962,Classic Cars,33,100.0,3300.0,5362.83,2062.83,UK,Medium,11
10183,2003-11-13,Shipped,S10_4962,Classic Cars,28,100.0,2800.0,3433.36,633.36,USA,Medium,11
10194,2003-11-25,Shipped,S10_4962,Classic Cars,26,100.0,2600.0,4263.74,1663.74,France,Medium,11
10207,2003-12-09,Shipped,S10_4962,Classic Cars,31,100.0,3100.0,4076.19,976.19,USA,Medium,12
10217,2004-02-04,Shipped,S10_4962,Classic Cars,48,100.0,4800.0,7020.48,2220.48,Singapore,Large,2
10229,2004-03-11,Shipped,S10_4962,Classic Cars,50,100.0,5000.0,6426.5,1426.5,USA,Medium,3
10245,2004-05-04,Shipped,S10_4962,Classic Cars,28,100.0,2800.0,4591.72,1791.72,USA,Medium,5
10259,2004-06-15,Shipped,S10_4962,Classic Cars,26,100.0,2600.0,4033.38,1433.38,Singapore,Medium,6
10270,2004-07-19,Shipped,S10_4962,Classic Cars,32,100.0,3200.0,4302.08,1102.08,Australia,Medium,7
10281,2004-08-19,Shipped,S10_4962,Classic Cars,44,100.0,4400.0,7020.64,2620.64,USA,Large,8
10291,2004-09-08,Shipped,S10_4962,Classic Cars,30,100.0,3000.0,3855.9,855.9,Sweden,Medium,9
10305,2004-10-13,Shipped,S10_4962,Classic Cars,38,100.0,3800.0,6680.78,2880.78,USA,Medium,10
10313,2004-10-22,Shipped,S10_4962,Classic Cars,40,100.0,4000.0,6678.0,2678.0,Canada,Medium,10
10322,2004-11-04,Shipped,S10_4962,Classic Cars,46,61.99,2851.54,2851.54,0.0,USA,Small,11
10334,2004-11-19,On Hold,S10_4962,Classic Cars,26,100.0,2600.0,3188.12,588.12,Sweden,Medium,11
10347,2004-11-29,Shipped,S10_4962,Classic Cars,27,100.0,2700.0,4428.0,1728.0,Australia,Medium,11
10357,2004-12-10,Shipped,S10_4962,Classic Cars,43,100.0,4300.0,5780.92,1480.92,USA,Medium,12
10370,2005-01-20,Shipped,S10_4962,Classic Cars,35,65.63,2297.0499999999997,2297.05,0.0,Australia,Small,1
10381,2005-02-17,Shipped,S10_4962,Classic Cars,37,100.0,3700.0,6231.54,2531.54,USA,Medium,2
10391,2005-03-09,Shipped,S10_4962,Classic Cars,37,46.9,1735.3,1735.3,0.0,Australia,Small,3
10411,2005-05-01,Shipped,S10_4962,Classic Cars,27,100.0,2700.0,4427.73,1727.73,Canada,Medium,5
10425,2005-05-31,In Process,S10_4962,Classic Cars,38,100.0,3800.0,5894.94,2094.94,France,Medium,5
10108,2003-03-03,Shipped,S12_1099,Classic Cars,33,100.0,3300.0,5265.15,1965.15,Philippines,Medium,3
10122,2003-05-08,Shipped,S12_1099,Classic Cars,42,100.0,4200.0,7599.9,3399.9,France,Large,5
10135,2003-07-02,Shipped,S12_1099,Classic Cars,42,100.0,4200.0,8008.56,3808.56,USA,Large,7
10147,2003-09-05,Shipped,S12_1099,Classic Cars,48,100.0,4800.0,9245.76,4445.76,USA,Large,9
10159,2003-10-10,Shipped,S12_1099,Classic Cars,41,100.0,4100.0,8296.35,4196.35,USA,Large,10
10169,2003-11-04,Shipped,S12_1099,Classic Cars,30,100.0,3000.0,5019.9,2019.9,Australia,Medium,11
10181,2003-11-12,Shipped,S12_1099,Classic Cars,27,100.0,2700.0,5411.07,2711.07,Norway,Medium,11
10191,2003-11-20,Shipped,S12_1099,Classic Cars,21,100.0,2100.0,3840.9,1740.9,Germany,Medium,11
10203,2003-12-02,Shipped,S12_1099,Classic Cars,20,100.0,2000.0,3930.4,1930.4,Spain,Medium,12
10211,2004-01-15,Shipped,S12_1099,Classic Cars,41,100.0,4100.0,7498.9,3398.9,France,Large,1
10225,2004-02-22,Shipped,S12_1099,Classic Cars,27,100.0,2700.0,4517.91,1817.91,Switzerland,Medium,2
10238,2004-04-09,Shipped,S12_1099,Classic Cars,28,100.0,2800.0,5774.72,2974.72,Denmark,Medium,4
10253,2004-06-01,Cancelled,S12_1099,Classic Cars,24,100.0,2400.0,3922.56,1522.56,UK,Medium,6
10266,2004-07-06,Shipped,S12_1099,Classic Cars,44,100.0,4400.0,9160.36,4760.36,Italy,Large,7
10276,2004-08-02,Shipped,S12_1099,Classic Cars,50,100.0,5000.0,9631.0,4631.0,USA,Large,8
10287,2004-08-30,Shipped,S12_1099,Classic Cars,21,100.0,2100.0,3432.24,1332.24,Switzerland,Medium,8
10300,2003-10-04,Shipped,S12_1099,Classic Cars,33,100.0,3300.0,5521.89,2221.89,Germany,Medium,10
10310,2004-10-16,Shipped,S12_1099,Classic Cars,33,100.0,3300.0,6934.62,3634.62,Germany,Medium,10
10320,2004-11-03,Shipped,S12_1099,Classic Cars,31,100.0,3100.0,6876.11,3776.11,Sweden,Medium,11
10329,2004-11-15,Shipped,S12_1099,Classic Cars,41,71.47,2930.27,2930.27,0.0,USA,Small,11
10341,2004-11-24,Shipped,S12_1099,Classic Cars,45,79.65,3584.2500000000005,3584.25,0.0,Austria,Medium,11
10363,2005-01-06,Shipped,S12_1099,Classic Cars,33,85.39,2817.87,2817.87,0.0,Finland,Small,1
10375,2005-02-03,Shipped,S12_1099,Classic Cars,45,76.0,3420.0,3420.0,0.0,France,Medium,2
10389,2005-03-03,Shipped,S12_1099,Classic Cars,26,99.04,2575.04,2575.04,0.0,Sweden,Small,3
10419,2005-05-17,Shipped,S12_1099,Classic Cars,12,100.0,1200.0,1961.28,761.28,Austria,Small,5
10105,2003-02-11,Shipped,S12_1108,Classic Cars,41,100.0,4100.0,8690.36,4590.36,Denmark,Large,2
10117,2003-04-16,Shipped,S12_1108,Classic Cars,33,100.0,3300.0,6034.38,2734.38,Singapore,Medium,4
10127,2003-06-03,Shipped,S12_1108,Classic Cars,46,100.0,4600.0,11279.2,6679.2,USA,Large,6
10142,2003-08-08,Shipped,S12_1108,Classic Cars,33,100.0,3300.0,8023.29,4723.29,USA,Large,8
10153,2003-09-28,Shipped,S12_1108,Classic Cars,20,100.0,2000.0,4904.0,2904.0,Spain,Medium,9
10165,2003-10-22,Shipped,S12_1108,Classic Cars,44,100.0,4400.0,8594.52,4194.52,Singapore,Large,10
10176,2003-11-06,Shipped,S12_1108,Classic Cars,33,100.0,3300.0,7474.5,4174.5,Italy,Large,11
10185,2003-11-14,Shipped,S12_1108,Classic Cars,21,100.0,2100.0,3883.74,1783.74,USA,Medium,11
10196,2003-11-26,Shipped,S12_1108,Classic Cars,47,100.0,4700.0,8887.7,4187.7,USA,Large,11
10208,2004-01-02,Shipped,S12_1108,Classic Cars,46,100.0,4600.0,8602.92,4002.92,France,Large,1
10220,2004-02-12,Shipped,S12_1108,Classic Cars,32,100.0,3200.0,7181.44,3981.44,Ireland,Large,2
10231,2004-03-19,Shipped,S12_1108,Classic Cars,42,100.0,4200.0,8378.58,4178.58,Spain,Large,3
10247,2004-05-05,Shipped,S12_1108,Classic Cars,44,100.0,4400.0,10606.2,6206.2,Finland,Large,5
10272,2004-07-20,Shipped,S12_1108,Classic Cars,35,100.0,3500.0,5818.4,2318.4,USA,Medium,7
10282,2004-08-20,Shipped,S12_1108,Classic Cars,41,100.0,4100.0,7071.27,2971.27,USA,Large,8
10293,2004-09-09,Shipped,S12_1108,Classic Cars,46,100.0,4600.0,8411.56,3811.56,Italy,Large,9
10306,2004-10-14,Shipped,S12_1108,Classic Cars,31,100.0,3100.0,6570.76,3470.76,UK,Medium,10
10314,2004-10-22,Shipped,S12_1108,Classic Cars,38,100.0,3800.0,7975.44,4175.44,Denmark,Large,10
10325,2004-11-05,Shipped,S12_1108,Classic Cars,42,64.0,2688.0,2688.0,0.0,Norway,Small,11
10336,2004-11-20,Shipped,S12_1108,Classic Cars,33,57.22,1888.26,1888.26,0.0,France,Small,11
10348,2004-11-01,Shipped,S12_1108,Classic Cars,48,52.36,2513.2799999999997,2513.28,0.0,Spain,Small,11
10359,2004-12-15,Shipped,S12_1108,Classic Cars,42,100.0,4200.0,4764.48,564.48,France,Medium,12
10371,2005-01-23,Shipped,S12_1108,Classic Cars,32,100.0,3200.0,3560.64,360.64,USA,Medium,1
10382,2005-02-17,Shipped,S12_1108,Classic Cars,34,100.0,3400.0,3823.64,423.64,USA,Medium,2
10395,2005-03-17,Shipped,S12_1108,Classic Cars,33,69.12,2280.96,2280.96,0.0,France,Small,3
10413,2005-05-05,Shipped,S12_1108,Classic Cars,36,100.0,3600.0,8677.8,5077.8,USA,Large,5
10103,2003-01-29,Shipped,S12_1666,Trucks and Buses,27,100.0,2700.0,3394.98,694.98,Norway,Medium,1
10113,2003-03-26,Shipped,S12_1666,Trucks and Buses,21,100.0,2100.0,3415.44,1315.44,USA,Medium,3
10126,2003-05-28,Shipped,S12_1666,Trucks and Buses,21,100.0,2100.0,2439.57,339.57,Spain,Small,5
10140,2003-07-24,Shipped,S12_1666,Trucks and Buses,38,100.0,3800.0,4829.8,1029.8,USA,Medium,7
10150,2003-09-19,Shipped,S12_1666,Trucks and Buses,30,100.0,3000.0,4100.1,1100.1,Singapore,Medium,9
10164,2003-10-21,Resolved,S12_1666,Trucks and Buses,49,100.0,4900.0,6563.06,1663.06,Austria,Medium,10
10174,2003-11-06,Shipped,S12_1666,Trucks and Buses,43,100.0,4300.0,6817.22,2517.22,Australia,Medium,11
10183,2003-11-13,Shipped,S12_1666,Trucks and Buses,41,100.0,4100.0,6163.94,2063.94,USA,Medium,11
10194,2003-11-25,Shipped,S12_1666,Trucks and Buses,38,100.0,3800.0,4933.92,1133.92,France,Medium,11
10206,2003-12-05,Shipped,S12_1666,Trucks and Buses,28,100.0,2800.0,4056.36,1256.36,Canada,Medium,12
10216,2004-02-02,Shipped,S12_1666,Trucks and Buses,43,100.0,4300.0,5759.42,1459.42,France,Medium,2
10229,2004-03-11,Shipped,S12_1666,Trucks and Buses,25,100.0,2500.0,3451.0,951.0,USA,Medium,3
10245,2004-05-04,Shipped,S12_1666,Trucks and Buses,38,100.0,3800.0,5920.4,2120.4,USA,Medium,5
10258,2004-06-15,Shipped,S12_1666,Trucks and Buses,41,100.0,4100.0,6668.24,2568.24,Japan,Medium,6
10270,2004-07-19,Shipped,S12_1666,Trucks and Buses,28,100.0,2800.0,4094.72,1294.72,Australia,Medium,7
10281,2004-08-19,Shipped,S12_1666,Trucks and Buses,25,100.0,2500.0,2938.5,438.5,USA,Small,8
10291,2004-09-08,Shipped,S12_1666,Trucks and Buses,41,100.0,4100.0,6387.8,2287.8,Sweden,Medium,9
10304,2004-10-11,Shipped,S12_1666,Trucks and Buses,39,100.0,3900.0,6396.0,2496.0,France,Medium,10
10313,2004-10-22,Shipped,S12_1666,Trucks and Buses,21,100.0,2100.0,2669.1,569.1,Canada,Small,10
10322,2004-11-04,Shipped,S12_1666,Trucks and Buses,27,100.0,2700.0,4784.13,2084.13,USA,Medium,11
10333,2004-11-18,Shipped,S12_1666,Trucks and Buses,33,99.21,3273.93,3273.93,0.0,USA,Medium,11
10347,2004-11-29,Shipped,S12_1666,Trucks and Buses,29,100.0,2900.0,3586.43,686.43,Australia,Medium,11
10357,2004-12-10,Shipped,S12_1666,Trucks and Buses,49,100.0,4900.0,5960.36,1060.36,USA,Medium,12
10370,2005-01-20,Shipped,S12_1666,Trucks and Buses,49,100.0,4900.0,8470.14,3570.14,Australia,Large,1
10381,2005-02-17,Shipped,S12_1666,Trucks and Buses,20,100.0,2000.0,2952.0,952.0,USA,Small,2
10391,2005-03-09,Shipped,S12_1666,Trucks and Buses,39,63.2,2464.8,2464.8,0.0,Australia,Small,3
10411,2005-05-01,Shipped,S12_1666,Trucks and Buses,40,100.0,4000.0,6232.0,2232.0,Canada,Medium,5
